gps_disponible,nombre,tipo,ubicacion,url
True,Abama Golf,18-hole course,"Guia de Isora, TEN, Spain",showcourse.php?cid=1227792771334
True,Águilas Club de Golf Isla del Fraile,18-hole course,"Águilas, Murcia, Spain",showcourse.php?cid=1683087419301315
True,aguilon,18-hole course,"Pulpi, Spain",showcourse.php?cid=1763579405725855
True,Aguilón Golf,18-hole course,"Pilar de Jaravia, AN, Spain",showcourse.php?cid=1315901238208
True,al haurin,no courses added,Spain,newcourseform.php?clid=1676929690333312
True,Albatros Golf,Albatros,"Arteixo, Spain",showcourse.php?cid=1526186882898313
True,Alborán Golf,18-hole course,"Almería, AN, Spain",showcourse.php?cid=1257342537543
True,Alcarria Golf Valdeluz,18-hole course,"Yebes, Guadalajara, Spain",showcourse.php?cid=1255970181021
True,Aldeamayor Golf Club,Championship,"Valladolid, CL, Spain",showcourse.php?cid=1132652837430
True,Aldeamayor Golf Club,Pares 3,"Valladolid, CL, Spain",showcourse.php?cid=1333187345571
True,Alenda Golf Club,18-hole course,"Monforte del Cid, VC, Spain",showcourse.php?cid=1204994207984
True,Alhama Signature Golf,18-hole course,"Alhama de Murcia, MC, Spain",showcourse.php?cid=1322468647080
True,Alhaurin Golf Club,18-hole course,"Alhaurín el Grande, AN, Spain",showcourse.php?cid=1214590642462
True,Alicante Golf,18-hole course,"Alicante (Alacant), VC, Spain",showcourse.php?cid=1323793698312025
True,Almenara Golf Club,Pinos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_1
True,Almenara Golf Club,Alcornoques,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_2_2
True,Almenara Golf Club,Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_3_3
True,Almenara Golf Club,Pinos + Alcornoques,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_2
True,Almenara Golf Club,Pinos + Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_3
True,Almenara Golf Club,Alcornoques + Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_2_3
True,Aloha Golf Club,18-hole course,"Marbella, AN, Spain",showcourse.php?cid=1226433353060
True,Altaona Golf & Country Village,18-hole course,"Murcia, MC, Spain",showcourse.php?cid=1641826993122666
True,Altea Club de Golf,18-hole course,"Altea la Vieja, VC, Spain",showcourse.php?cid=1187507270693
True,Amarilla Golf Club,18-hole course,"Tenerife, CN, Spain",showcourse.php?cid=1201468819016
True,Amarilla Golf Club,P&P,"Tenerife, CN, Spain",showcourse.php?cid=1457429296379704
True,Anfi Tauro Golf,18-holes course,"Mogàn, CN, Spain",showcourse.php?cid=1218958297900
True,Anfi Tauro Golf,Par3,"Mogàn, CN, Spain",showcourse.php?cid=1695305262791668
True,Angeles de San Rafael,18-hole course,"El Espinar (Segovia), SG, Spain",showcourse.php?cid=1299688483665
True,Añoreta Resort & Golf,18-hole course,"Rincón de la Victoria, AN, Spain",showcourse.php?cid=1339668734732
True,Aravell Golf,Aravell golf,"Montferrer, cat, Spain",showcourse.php?cid=1319465179540015
True,Arcos Gardens,18-hole course,"Arcos de la Frontera, Cad, Spain",showcourse.php?cid=1336982897746414
True,Arcosur Golf,9-hole course,"Zaragoza, AR, Spain",showcourse.php?cid=1520779996779304
True,Asociación de Golf Villa de El Escorial,9 hoyos,"El Escorial, Spain",showcourse.php?cid=1722514980582688
True,Atalaya Golf & Country Club,New Course,"Estepona, AN, Spain",showcourse.php?cid=1193576081417
True,Atalaya Golf & Country Club,Old Course,"Estepona, AN, Spain",showcourse.php?cid=1252753771761
True,Augas Santas Golf,Augas Santas Golf,"Ferreira de Panton, Lug, Spain",showcourse.php?cid=1443044606568994
True,Azata Golf,18-hole course,"Estepona, AN, Spain",showcourse.php?cid=1634805495471023
True,Balneario de Mondariz,18-hole course,"Mondariz Balneario, Spain",showcourse.php?cid=1110306352538
True,Banús Executive Golf,9-hole course,"Marbella, AN, Spain",showcourse.php?cid=1620927786874072
True,Barberán y Collar,18-hole course,"MADRID, Spain",showcourse.php?cid=1512160481468605
True,Barberán y Collar,Barberán,"MADRID, Spain",showcourse.php?cid=1314261167272
True,Barberán y Collar,Dehesa Militar,"MADRID, Spain",showcourse.php?cid=1512160510662261
True,Barceló Montecastillo Golf,18-hole course,"Jerez de la Frontera, AN, Spain",showcourse.php?cid=1241692011532
True,Base Aerea de Zaragoza,Base Aerea de Zaragoza,"Zaragoza, Spain",showcourse.php?cid=1348351276359881
True,Base Area de Torrejón,18-hole course,"Torrejón de Ardoz, Mad, Spain",showcourse.php?cid=1253991527929
True,Base Naval Rota,Captain Jake Dennis,"Rota, CáD, Spain",showcourse.php?cid=1375658246266
True,Baviera Golf,Baviera,"Caleta de Vélez, AN, Spain",showcourse.php?cid=1333364987492817
True,Bellavista Golf Club,18-hole course,"Aljaraque, AN, Spain",showcourse.php?cid=1175968184303
True,Benalmádena Golf,9-hole course,"Málaga, AN, Spain",showcourse.php?cid=133258099160951
True,Abama Golf,18-hole course,"Guia de Isora, TEN, Spain",showcourse.php?cid=1227792771334
True,Águilas Club de Golf Isla del Fraile,18-hole course,"Águilas, Murcia, Spain",showcourse.php?cid=1683087419301315
True,aguilon,18-hole course,"Pulpi, Spain",showcourse.php?cid=1763579405725855
True,Aguilón Golf,18-hole course,"Pilar de Jaravia, AN, Spain",showcourse.php?cid=1315901238208
True,al haurin,no courses added,Spain,newcourseform.php?clid=1676929690333312
True,Albatros Golf,Albatros,"Arteixo, Spain",showcourse.php?cid=1526186882898313
True,Alborán Golf,18-hole course,"Almería, AN, Spain",showcourse.php?cid=1257342537543
True,Alcarria Golf Valdeluz,18-hole course,"Yebes, Guadalajara, Spain",showcourse.php?cid=1255970181021
True,Aldeamayor Golf Club,Championship,"Valladolid, CL, Spain",showcourse.php?cid=1132652837430
True,Aldeamayor Golf Club,Pares 3,"Valladolid, CL, Spain",showcourse.php?cid=1333187345571
True,Alenda Golf Club,18-hole course,"Monforte del Cid, VC, Spain",showcourse.php?cid=1204994207984
True,Alhama Signature Golf,18-hole course,"Alhama de Murcia, MC, Spain",showcourse.php?cid=1322468647080
True,Alhaurin Golf Club,18-hole course,"Alhaurín el Grande, AN, Spain",showcourse.php?cid=1214590642462
True,Alicante Golf,18-hole course,"Alicante (Alacant), VC, Spain",showcourse.php?cid=1323793698312025
True,Almenara Golf Club,Pinos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_1
True,Almenara Golf Club,Alcornoques,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_2_2
True,Almenara Golf Club,Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_3_3
True,Almenara Golf Club,Pinos + Alcornoques,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_2
True,Almenara Golf Club,Pinos + Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_3
True,Almenara Golf Club,Alcornoques + Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_2_3
True,Aloha Golf Club,18-hole course,"Marbella, AN, Spain",showcourse.php?cid=1226433353060
True,Altaona Golf & Country Village,18-hole course,"Murcia, MC, Spain",showcourse.php?cid=1641826993122666
True,Altea Club de Golf,18-hole course,"Altea la Vieja, VC, Spain",showcourse.php?cid=1187507270693
True,Amarilla Golf Club,18-hole course,"Tenerife, CN, Spain",showcourse.php?cid=1201468819016
True,Amarilla Golf Club,P&P,"Tenerife, CN, Spain",showcourse.php?cid=1457429296379704
True,Anfi Tauro Golf,18-holes course,"Mogàn, CN, Spain",showcourse.php?cid=1218958297900
True,Anfi Tauro Golf,Par3,"Mogàn, CN, Spain",showcourse.php?cid=1695305262791668
True,Angeles de San Rafael,18-hole course,"El Espinar (Segovia), SG, Spain",showcourse.php?cid=1299688483665
True,Añoreta Resort & Golf,18-hole course,"Rincón de la Victoria, AN, Spain",showcourse.php?cid=1339668734732
True,Aravell Golf,Aravell golf,"Montferrer, cat, Spain",showcourse.php?cid=1319465179540015
True,Arcos Gardens,18-hole course,"Arcos de la Frontera, Cad, Spain",showcourse.php?cid=1336982897746414
True,Arcosur Golf,9-hole course,"Zaragoza, AR, Spain",showcourse.php?cid=1520779996779304
True,Asociación de Golf Villa de El Escorial,9 hoyos,"El Escorial, Spain",showcourse.php?cid=1722514980582688
True,Atalaya Golf & Country Club,New Course,"Estepona, AN, Spain",showcourse.php?cid=1193576081417
True,Atalaya Golf & Country Club,Old Course,"Estepona, AN, Spain",showcourse.php?cid=1252753771761
True,Augas Santas Golf,Augas Santas Golf,"Ferreira de Panton, Lug, Spain",showcourse.php?cid=1443044606568994
True,Azata Golf,18-hole course,"Estepona, AN, Spain",showcourse.php?cid=1634805495471023
True,Balneario de Mondariz,18-hole course,"Mondariz Balneario, Spain",showcourse.php?cid=1110306352538
True,Banús Executive Golf,9-hole course,"Marbella, AN, Spain",showcourse.php?cid=1620927786874072
True,Barberán y Collar,18-hole course,"MADRID, Spain",showcourse.php?cid=1512160481468605
True,Barberán y Collar,Barberán,"MADRID, Spain",showcourse.php?cid=1314261167272
True,Barberán y Collar,Dehesa Militar,"MADRID, Spain",showcourse.php?cid=1512160510662261
True,Barceló Montecastillo Golf,18-hole course,"Jerez de la Frontera, AN, Spain",showcourse.php?cid=1241692011532
True,Base Aerea de Zaragoza,Base Aerea de Zaragoza,"Zaragoza, Spain",showcourse.php?cid=1348351276359881
True,Base Area de Torrejón,18-hole course,"Torrejón de Ardoz, Mad, Spain",showcourse.php?cid=1253991527929
True,Base Naval Rota,Captain Jake Dennis,"Rota, CáD, Spain",showcourse.php?cid=1375658246266
True,Baviera Golf,Baviera,"Caleta de Vélez, AN, Spain",showcourse.php?cid=1333364987492817
True,Bellavista Golf Club,18-hole course,"Aljaraque, AN, Spain",showcourse.php?cid=1175968184303
True,Benalmádena Golf,9-hole course,"Málaga, AN, Spain",showcourse.php?cid=133258099160951
True,Bilbao Golf,Bilbao golf,"Larrabetzu, Viz, Spain",showcourse.php?cid=1387471192988674
True,Bocigas,18-hole course,"Valladolid, Spain",showcourse.php?cid=1374491085650
True,Buenavista Golf,18-hole course,"Buenavista, CN, Spain",showcourse.php?cid=1141567902484
True,Cabopino Golf Marbella,Cabopino,"Marbella, AN, Spain",showcourse.php?cid=1142412915307
True,cala llonga,18-hole course,"ibiza, bal, Spain",showcourse.php?cid=1218147093938
True,Calanova Golf Club,18-hole course,"La Cala de Mijas, AN, Spain",showcourse.php?cid=1252321283370
True,Caldes Montbui Sakura,9-hole course,"Caldes de Montbui, CAT, Spain",showcourse.php?cid=1120736404325
True,Camp der Mar,18-hole course,Spain,showcourse.php?cid=1184434243108
True,Campo de Golf Antequera,18-hole course,"Antequera, AN, Spain",showcourse.php?cid=1360710232143
True,Campo Municipal de Golf Supera La Torre De Hércule,9-hole course,"A Coruña, Spain",showcourse.php?cid=1287582590656
True,Campoa 9H,18-hole course,Spain,showcourse.php?cid=1295093922336
True,Campomar,Campomar 18 Hoyos,"Narón (A Coruña) , Spain",showcourse.php?cid=1290589186317
True,Camposol Club de Golf,Camposol club de golf,"Mazarron, Murcia, Spain",showcourse.php?cid=1437738486263495
True,CAN BOSCH SANT FELIU,18-hole course,"Sant Feliu de Codines, Spain",showcourse.php?cid=1213532208280
True,Can Cuyas Golf,18-hole course,"Sant Feliu de Llobregat (Bcn), CAT, Spain",showcourse.php?cid=1247915601487
True,Can Rafel,9 forats amb sortides dobles,"Barcelona, Catalonia, Spain",showcourse.php?cid=1635788485683024
True,Canyamel Golf - Mallorca,18-hole course,"Capdepera, IB, Spain",showcourse.php?cid=1133788421489
True,Capdepera Golf,18-hole course,"Artá, PM, Spain",showcourse.php?cid=1143748238488
True,Casares Costa Golf,9-hole course,"Casares, AN, Spain",showcourse.php?cid=1275760646461
True,Casino Club de Golf Retamares,-,"Madrid, Spain",showcourse.php?cid=1202123152547
True,Castropol Golf,18-hole course,"Castropol, Spain",showcourse.php?cid=1407313745413034
True,Cdc negro,18-hole course,"Madrid, Mad, Spain",showcourse.php?cid=1237102318476
True,CDE Torija,Torija P&P,"Torija, Guadalajara, Spain",showcourse.php?cid=1431249634389
True,CDM La Dehesa,18-hole course,"Madrid, MAD, Spain",showcourse.php?cid=1351455305432
True,Centre de Golf El Vendrell,18-hole course,"El Vendrell, Spain",showcourse.php?cid=1140271764855
True,Centro de tecnificacion,Centro de Tecnificacion de Madrid,"Madrid, Mad, Spain",showcourse.php?cid=1212352096368
True,Centro de tecnificacion,Ct,"Madrid, Mad, Spain",showcourse.php?cid=1404670267439
True,Centro Nacional de Golf,18-hole course,"Madrid, MD, Spain",showcourse.php?cid=1248125289521
True,Cerrado del Águila Golf And Resort,9-hole course,"Las Lagunas de Mijas, AN, Spain",showcourse.php?cid=1369295411255133
True,Chaparral Golf Club,18-hole course,"Las Lagunas de Mijas, AN, Spain",showcourse.php?cid=1232641679343
True,Chiclana Family Golf Park,Chiclana Family Golf Park,"Chiclana de la Frontera, CAD, Spain",showcourse.php?cid=144519897463622
True,Cierro Grande,Cierro Grande,"tapia de casariego, Spain",showcourse.php?cid=1472465582884824
True,Closed,La Pared,Spain,showcourse.php?cid=1551114344506371
True,Club de Campo Black,18-hole course,"Madrid, Spain",showcourse.php?cid=1219398272284
True,Club de Campo El Tiro,18-hole course,"La Granja de San Ildefonso - S, SEG, Spain",showcourse.php?cid=1231518898638
True,Club de Campo Villa de Madrid,Pares 3,"Madrid, MAD, Spain",showcourse.php?cid=1467368299929860
True,Club de Campo Villa de Madrid,Recorrido Amarillo,"Madrid, MAD, Spain",showcourse.php?cid=1503930378949856
True,Club de Campo Villa de Madrid,Recorrido Negro,"Madrid, MAD, Spain",showcourse.php?cid=1319249893677071
True,Club de golf,18-hole course,"Son servera, Spain",showcourse.php?cid=1251017360075
True,Club de Golf Alcanada,18-hole course,"Port d'Alcúdia, Mallorca, Spain",showcourse.php?cid=1186992610135
True,Club de Golf Almerimar,Rojo,"Almerimar, AN, Spain",showcourse.php?cid=1627040216533846_1_1
True,Club de Golf Almerimar,Azul,"Almerimar, AN, Spain",showcourse.php?cid=1627040216533846_2_2
True,Club de Golf Almerimar,Blanco,"Almerimar, AN, Spain",showcourse.php?cid=1627040216533846_3_3
True,Club de Golf Almerimar,Rojo + Azul,"Almerimar, AN, Spain",showcourse.php?cid=1627040216533846_1_2
True,Club de Golf Almerimar,Rojo + Blanco,"Almerimar, AN, Spain",showcourse.php?cid=1627040216533846_1_3
True,Club de Golf Almerimar,Azul + Blanco,"Almerimar, AN, Spain",showcourse.php?cid=1627040216533846_2_3
True,Club de Golf Aranjuez,Club de Golf Aranjuez,"Aranjuez, Spain",showcourse.php?cid=1319837693174313
True,Club de Golf Arévalo,Arévalo,"Arévalo, Ávila, Spain",showcourse.php?cid=1473098585108269
True,Club de Golf Barcelona,18 forats - masia,"Sant Esteve Sesrovires, CT, Spain",showcourse.php?cid=1301298837622
True,Club de Golf Barcelona,9 forats - executive,"Sant Esteve Sesrovires, CT, Spain",showcourse.php?cid=1310134015422
True,Club De Golf Bonalba,18-hole course,"Mutxamel, VC, Spain",showcourse.php?cid=134330613428390
True,Club de golf Camprodon,18-hole course,"Camprodon, Catalunya, Spain",showcourse.php?cid=1684830073347465
True,Club de Golf Castellterçol,18-hole course,"Castellterçol, Barcelona, Spain",showcourse.php?cid=1679399611119278
True,Club de Golf Castillo de Gorraiz,Gorraiz,"Gorráiz, NC, Spain",showcourse.php?cid=1322577350500
True,Club de Golf Corta Atalaya,9-hole course,"Minas de Riotinto, Huelva, Spain",showcourse.php?cid=1470846412504117
True,Club de Golf Costa Brava,Recorregut Vermell,"Santa Maria de Solius, CT, Spain",showcourse.php?cid=1348772679640008
True,Club de Golf Costa Brava,Rojo,"Santa Maria de Solius, CT, Spain",showcourse.php?cid=155385762024847
True,Club de Golf Costa Brava,Verde,"Santa Maria de Solius, CT, Spain",showcourse.php?cid=1128609400009
True,Club de Golf Costa Daurada,Main course,"El Catllar (Tarragona), CAT, Spain",showcourse.php?cid=1514119709196891
True,Club de Golf Costa Daurada,Pitch and Putt,"El Catllar (Tarragona), CAT, Spain",showcourse.php?cid=1577392288701791
True,club de golf costa de azahar,Costa Azahar Recorrido Azul,"grao, castellon, Spain",showcourse.php?cid=1669508652952336
True,club de golf costa de azahar,Costa Azahar Recorrido Rosa,"grao, castellon, Spain",showcourse.php?cid=1669508974669878
True,club de golf costa de azahar,Costa Azahar Recorrido Verde,"grao, castellon, Spain",showcourse.php?cid=1669507528471938
True,club de golf costa de azahar,costa de azahar,"grao, castellon, Spain",showcourse.php?cid=1397341057162099
True,Club de Golf de Jaca,18-hole course,"Jaca, Hue, Spain",showcourse.php?cid=1408127129242630
True,Club de Golf de Son Servera,18-hole course,"Costa dels Pins, IB, Spain",showcourse.php?cid=1202729545660
True,Club de Golf El Espinar,18-hole course,"El Espinar, Castilla y León, Spain",showcourse.php?cid=1725908549321737
True,Club de Golf Entrepinos,Entrepinos,"Simancas, Sp, Spain",showcourse.php?cid=1132606883070
True,Club de Golf Entrepinos,Golf Entrepinos,"Simancas, Sp, Spain",showcourse.php?cid=1379082605279
True,Club de Golf Escorpión,Masia,"Bétera, VC, Spain",showcourse.php?cid=1227522189124_1_1
True,Club de Golf Escorpión,Lagos,"Bétera, VC, Spain",showcourse.php?cid=1227522189124_2_2
True,Club de Golf Escorpión,Nuevos,"Bétera, VC, Spain",showcourse.php?cid=1227522189124_3_3
True,Club de Golf Escorpión,Masia + Lagos,"Bétera, VC, Spain",showcourse.php?cid=1227522189124_1_2
True,Club de Golf Escorpión,Masia + Nuevos,"Bétera, VC, Spain",showcourse.php?cid=1227522189124_1_3
True,Club de Golf Escorpión,Lagos + Nuevos,"Bétera, VC, Spain",showcourse.php?cid=1227522189124_2_3
True,Club de Golf Hato Verde,HATO VERDE,"Guillena, Sevilla, Spain",showcourse.php?cid=1321708845372
True,Club de Golf Ifach,9-hole course,"Benissa, VC, Spain",showcourse.php?cid=1187512647895
True,Club de golf Javea,18-hole course,"Jávea, Alicante, Spain",showcourse.php?cid=1367427886521
True,Club de Golf La Cañada,18-hole course,"San Roque, AN, Spain",showcourse.php?cid=1357308329995
True,Club de Golf la Dehesa,18-hole course,"Villanueva de la Cañada, Madrid, Spain",showcourse.php?cid=1203762699616
True,Club de Golf La Garza,La Garza,"Linares - Jaén, AN, Spain",showcourse.php?cid=1314268576426
True,Club de Golf La Mola,9-hole course,"Matadepera, CAT, Spain",showcourse.php?cid=1229092585907
True,Club De Golf La Zagaleta,New,"Benahavís, AN, Spain",showcourse.php?cid=1311788211881
True,Club De Golf La Zagaleta,Old,"Benahavís, AN, Spain",showcourse.php?cid=1312751654393
True,Club de Golf Las Rejas,9 largos,"Majadahonda , Madrid, Mad, Spain",showcourse.php?cid=1184152467952
True,Club de Golf Las Rejas,Club de Golf las Rejas,"Majadahonda , Madrid, Mad, Spain",showcourse.php?cid=1350903895109425
True,Club de Golf Las Rejas,par 3,"Majadahonda , Madrid, Mad, Spain",showcourse.php?cid=1205658268299
True,Club de Golf Llavaneras,18-hole course,"St. Andreu de Llavaneras, Spain",showcourse.php?cid=1363179187819
True,Club de Golf los Balagares,Campo de Golf Los Balagares,"Corvera de Asturias, Spain",showcourse.php?cid=1376255654469615
True,Club de Golf Madera III El Tragamon,9-hole course,"Gijón, Spain",showcourse.php?cid=1239449806056
True,Club de Golf Montanyà,18-hole course,"bcn, CT, Spain",showcourse.php?cid=1188074744847
True,Club de Golf Nestares,18-hole course,"Nestares, Cantabria, Spain",showcourse.php?cid=1336027406202734
True,Club de Golf Oliva Nova,18-hole course,"Oliva, VC, Spain",showcourse.php?cid=1206029235544
True,Club De Golf Playa Serena,18-hole course,"Roquetas de Mar, AN, Spain",showcourse.php?cid=1212662268964
True,Club de Golf Pozoblanco,Club de Golf Pozoblanco,"Pozoblanco, COR, Spain",showcourse.php?cid=1386797455624706
True,Club de Golf Sant Cugat,Naranja,"SANT CUGAT DEL VALLES (BCN), CAT, Spain",showcourse.php?cid=1595187975859588
True,Club de Golf Sant Cugat,Rojo,"SANT CUGAT DEL VALLES (BCN), CAT, Spain",showcourse.php?cid=1316630592124
True,Club de Golf Terramar,18-hole course,"Sitges, CT, Spain",showcourse.php?cid=1157101623377
True,Club de Golf Torre-Pacheco,Combinado,"Torre-Pacheco, MC, Spain",showcourse.php?cid=1745438171948931
True,Club de Golf Torre-Pacheco,Pitch & Putt,"Torre-Pacheco, MC, Spain",showcourse.php?cid=1478029624858012
True,Club de Golf Ulzama,18-hole course,"Lizaso, Navarra, Spain",showcourse.php?cid=1306258797679
True,Club de Golf Vallromanes,18-hole course,"Vallromanes, CT, Spain",showcourse.php?cid=1266485514056
True,Club de Golf Villa de Cuéllar,18-hole course,"Cuéllar, SG, Spain",showcourse.php?cid=1376829591357056
True,club de golf Villarrin,18-hole course,"Zam, Spain",showcourse.php?cid=1154271322677
True,Club de Golf Zuia,Zuia,"Altube, Ala, Spain",showcourse.php?cid=1343945017825532
True,Club Golf Bierzo,Club Golf Bierzo,"Congosto, Spain",showcourse.php?cid=1465244072509546
True,Club Golf D`Aro,Course 1,"Platja de Aro, Cat, Spain",showcourse.php?cid=1112601623177
True,Club Golf d'Aro - Mas Nou,18-hole course,"Platja d'Aro, CT, Spain",showcourse.php?cid=1578302524959721
True,Club Golf D’Aro – Mas Nou,18-hole course,"Platja d’Aro, Girona, Spain",showcourse.php?cid=1578266458759145
True,Club Golf Soria,Golf Soria,"Soria, Spain",showcourse.php?cid=1243347156876
True,Club Golf Villarías,18-hole course,"Villarías, Bur, Spain",showcourse.php?cid=1155151811328
True,Club Las Encinas de Boadilla,18-hole course,"Boadilla del Monte, Mad, Spain",showcourse.php?cid=1253556255592
True,Club Zamora Valderey,Valderey Zamora,"Zamora, Castilla León, Spain",showcourse.php?cid=1721521054396220
True,Club Zaudin Golf,18-hole course,"Tomares, Sevilla, Spain",showcourse.php?cid=1203602774390
True,Colmenar Viejo,9H,"Madrid, Spain",showcourse.php?cid=1312440559041
True,Complejo Deportivo Sotoverde,Sotoverde,"Arroyo de la Encomienda, VA, Spain",showcourse.php?cid=1346596039827
True,CORVERA GOLF & COUNTRY CLUB,18-hole course,"Corvera, Spain",showcourse.php?cid=1388131523747468
True,Costa Ballena Ocean Golf Club,Olivos,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_1_1
True,Costa Ballena Ocean Golf Club,Palmeras,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_2_2
True,Costa Ballena Ocean Golf Club,Ficus,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_3_3
True,Costa Ballena Ocean Golf Club,Olivos + Palmeras,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_1_2
True,Costa Ballena Ocean Golf Club,Olivos + Ficus,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_1_3
True,Costa Ballena Ocean Golf Club,Palmeras + Ficus,"Costa Ballena, Spain",showcourse.php?cid=1259690115955_2_3
True,Costa Ballena Ocean Golf Club,Par 3,"Costa Ballena, Spain",showcourse.php?cid=153996288277349
True,Costa Teguise,18-hole course,"Costa Teguise, Lanzarote - Canary Isles ?? , Spain",showcourse.php?cid=1230312843481
True,CUENCA GOLF CLUB,9-hole course,"Villar de Olalla, Cuenca, Spain",showcourse.php?cid=1724428101975484
True,CUENCA GOLF CLUB,Villar de Olalla Cuenca,"Villar de Olalla, Cuenca, Spain",showcourse.php?cid=1362952576493
True,Dehesa Montenmedio,18-hole course,"Vejer de la Frontera, AN, Spain",showcourse.php?cid=1341489159689
True,Desert Springs Golf Club,Indiana,"Cuevas del Almanzora, Almería, AN, Spain",showcourse.php?cid=151329517631501
True,Deva Golf,Deva Golf,"Gijón , Ast, Spain",showcourse.php?cid=1451680373382468
True,Don Tello Golf,Don Tello-AMS,"Mérida, Ext, Spain",showcourse.php?cid=1361434554498
